data_id,data_type,has_demogs,has_data,import_owner,tracker_type,software_type,sampling_rate,screen_dimensions,point_zero,link,readme_done,import_status,import_status_date,note
affcogUTSC_adults,web-based,Y,Y,Adrian,web-based,,,1280  x  960,upper left,,,,,
babylabAmsterdam_toddlers,in-lab,Y,Y,Gal,EyeLink 1000 Plus,EyeLink Experiment Builder,1000 Hz,1920 x 1080,upper left,,,,,eye tracking data submitted in single files per participant
babylabAmsterdam_adults,in-lab,Y,Y,Gal,EyeLink 1000 Plus,EyeLink Experiment Builder,1000 Hz,1920 x 1080,upper left,,,,,eye tracking data submitted in single files per participant
babylabBrookes_adults,in-lab,Y,Y,,Tobii Pro Spectrum,Tobii Pro Lab,1200 Hz,1280 x 1024,upper left,,,,,
babylabBrookes_toddlers,in-lab,Y,Y,,Tobii Pro Spectrum,Tobii Pro Lab,1200 Hz,1280 x 1024,upper left,,,,,
babylabChicago_toddlers,in-lab,Y,Y,Gal,Tobii T120,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,
BabylabINCC_adults,in-lab,Y,Y,,Tobii Pro Spectrum,PsychoPy,60 Hz,1920 x 1080,center,,,,,used psychopy; raw data is missing a lot of info -> get back to them if necessary
BabylabINCC_toddlers,in-lab,Y,Y,,Tobii Pro Spectrum,PsychoPy,60 Hz,1920 x 1080,center,,,,,used psychopy; raw data is missing a lot of info -> get back to them if necessary
babylabMPIB_adults,in-lab,Y,Y,,EyeLink 1000,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
babylabNijmegen_adults,in-lab,Y,Y,,Tobii TX300,Tobii Studio,300 Hz,1920 x 1080,upper left,,,,,
babylabNijmegen_toddlers,in-lab,Y,Y,,Tobii TX300,Tobii Studio,300 Hz,1920 x 1080,upper left,,,,,
babylabPrinceton_toddlers,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,250 Hz,1280 x 1024,upper left,,,,,
babylabTrento_adults,in-lab,Y,Y,,Tobii Pro Spectrum,Tobii Pro Lab,300 Hz,1920 x 1080,upper left,,,,,
babylabTrento_toddlers,in-lab,Y,Y,,Tobii Pro Spectrum,Tobii Pro Lab,300 Hz,1920 x 1080,upper left,,,,,
babylabUmassb_adults,in-lab,Y,Y,,Tobii TX300,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,
babylabUmassb_toddlers,in-lab,Y,Y,,Tobii TX300,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,
babyLeidenEdu_toddlers,in-lab,Y,Y,,Tobii Pro Fusion/Tobii X3-120,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,"switched eye tracker in between, TODDLERS: Participant 6 and participant 5 are both called Participant 5 (LUMB2_T05) by accident. The recording names for these participants, Recording 5 and Recording 6, are however different and correct. 3.TODDLERS: Change of eye-trackers. For participants 1-7 Tobii Pro Fusion was used, while for participants 8-18 Pro X3-120 was used. The change was done because Fusion was not reliable in calibration and data quality, see also below."
babyLeidenEdu_adults,in-lab,Y,Y,,Tobii Pro Fusion,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
babylingOslo_toddlers,in-lab,Y,Y,Adrian,EyeLink 1000 Plus,EyeLink Experiment Builder,1000 Hz,1280 x 1024,upper left,,,,,
babyuniheidelberg_adults,in-lab,Y,Y,,Tobii Pro Fusion 120Hz,Tobii Pro Lab,1200 Hz,1920 x 1080,upper left,,,,,
babyuniheidelberg_toddlers,in-lab,Y,Y,,Tobii Pro Fusion 120Hz,Tobii Pro Lab,1200 Hz,1920 x 1080,upper left,,,,,
beinghumanWroclaw_adults,web-based,Y,,Adrian,web-based,,,1280  x  960,upper left,,,,,
beinghumanWroclaw_toddlers,web-based,Y,,Adrian,web-based,,,1280  x  960,upper left,,,,,
careylabHarvard_adults,in-lab,Y,Y,MZ,Tobii T60,Tobii Studio,60 Hz,1280 x 1024,upper left,,,,,
careylabHarvard_toddlers,in-lab,Y,Y,MZ,Tobii T60,Tobii Studio,60 Hz,1280 x 1024,upper left,,,,,
ccluniri_adults,in-lab,Y,Y,,Tobii Pro Fusion 120Hz,PsychoPy,120 Hz,1920 x 1080,upper left,,,,,
cecBYU_toddlers,in-lab,Y,Y,,Tobii Pro Spectrum,Tobii Pro Lab,1200 Hz,1280 x 1024,upper left,,,,,
childdevlabAshoka_adults,in-lab,,Y,,Tobii Pro Spectrum,Tobii Pro Lab,60-1200 Hz,1920 x 1080,lower left,,,,,
childdevlabAshoka_toddlers,in-lab,,Y,,Tobii Pro Spectrum,Tobii Pro Lab,60-1200 Hz,1920 x 1080,lower left,,,,,
CogConcordia_adults,web-based,Y,,Adrian,web-based,,,1280  x  960,upper left,,,,,
CogConcordia_toddlers,web-based,Y,,Adrian,web-based,,,1280  x  960,upper left,,,,,
collabUIOWA_adults,web-based,,,Adrian,web-based,,,1280  x  960,upper left,,,,,
CorbitLab_adults,in-lab,,,Adrian,Tobii Pro Fusion 120Hz,Tobii Pro Lab,120 Hz,1280 x 1024,upper left,,,,,
CorbitLab_toddlers,in-lab,,,Adrian,Tobii Pro Fusion 120Hz,Tobii Pro Lab,120 Hz,1280 x 1024,upper left,,,,,
DevlabAU_adults,in-lab,Y,Y,,Tobii X120,Tobii Studio,120 Hz,1280 x 800,upper left,,,,,
DevlabAU_toddlers,in-lab,Y,Y,,Tobii X120,Tobii Studio,120 Hz,1280 x 800,upper left,,,,,
gaugGöttingen_adults,in-lab,Y,Y,Mike,Tobii Pro Fusion 120Hz,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
gaugGöttingen_toddlers,in-lab,Y,Y,Mike,Tobii Pro Fusion 120Hz,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
gertlabLancaster_toddlers,in-lab,,,,Tobii T120,Tobii Pro Lab,120 Hz,1280 x 1024,need to double check,,,,,
infantcogUBC_toddlers,in-lab,Y,Y,,SMI,SMI Experiment Center,60 Hz,1920 x 1080,upper left,,,,,
irlConcordia_toddlers,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1920 x 1080,upper left,,,,,
jmuCDL_adults,in-lab,Y,Y,,Tobii Pro Spectrum,Tobii Pro Lab,300 Hz,1920 x 1080,upper left,,,,,
kidsdevUniofNewcastle_adults,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1920 x 1080,upper left,,,,,
kidsdevUniofNewcastle_toddlers,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1920 x 1080,upper left,,,,,
kokuHamburg_toddlers,in-lab,Y,Y,,Tobii Pro Spectrum,Tobii Pro Lab,1200 Hz,1920 x 1080,upper left,,,,,
labUNAM_adults,in-lab,Y,Y,,Tobii TX300,Tobii Pro Lab,300 Hz,1920 x 1080,upper left,,,,,
labUNAM_toddlers,in-lab,Y,Y,,Tobii TX300,Tobii Pro Lab,300 Hz,1920 x 1080,upper left,,,,,
lmuMunich_adults,in-lab,Y,Y,Mike,Tobii Pro Fusion 120 Hz,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
lmuMunich_toddlers,in-lab,Y,Y,Mike,Tobii Pro Fusion 120 Hz,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
mecdmpihcbs_adults,in-lab,Y,Y,,Tobii X120,Tobii Studio,120 Hz,1280 x 1024,upper left,,,,,
mecdmpihcbs_toddlers,in-lab,Y,Y,,Tobii X120,Tobii Studio,120 Hz,1280 x 1024,upper left,,,,,
MEyeLab_adults,in-lab,Y,Y,,EyeLink Portable Duo,EyeLink Experiment Builder,1000 Hz,1920 x 1080,upper left,,,,,IDs in edfs only numbers (no MEyeLab)
MiniDundee_adults,in-lab,Y,Y,,Tobii Pro?,Tobii Pro Lab,300 Hz,1920 x 1080,upper left,,,,,
mpievaCCP_toddlers,in-lab,Y,Y,,Tobii X3-120,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
oxfordBabylab_toddlers,in-lab,Y,Y,,Tobii Pro Spectrum,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
PKUSu_adults,in-lab,Y,Y,,Tobii X120,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
PKUSu_toddlers,in-lab,Y,Y,,Tobii X120,Tobii Pro Lab,120 Hz,1920 x 1080,upper left,,,,,
saxelab_toddlers,web-based,,,Adrian,web-based,,,1280  x  960,upper left,,,,,
SkidLSDLab_adults,in-lab,Y,Y,,Logitech HD Pro Webcam C920,SMI Experiment Center,60 Hz,1920 x 1080,upper left,,,,,
SkidLSDLab_toddlers,in-lab,Y,Y,,Logitech HD Pro Webcam C920,SMI Experiment Center,60 Hz,1920 x 1080,upper left,,,,,
sociallabUCSD_toddlers,web-based,Y,Y,Adrian,web-based,,,1280  x  960,upper left,,,,,
socialcogUmiami_adults,in-lab,Y,Y,Mike,Tobii TX300,Tobii Studio,300 Hz,1280 x 720,upper left,,,,,
sociocognitivelab_adults,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,1000 Hz,1280 x 1024,upper left,,,,,
tauccd_adults,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
tauccd_toddlers,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
ToMcdlSalzburg_adults,in-lab,Y,Y,MZ,Tobii Pro X3–120,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,
ToMcdlSalzburg_toddlers,in-lab,Y,Y,MZ,Tobii Pro X3–120,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,
UIUCinfantlab_adults,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
UIUCinfantlab_toddlers,in-lab,Y,Y,,EyeLink 1000 Plus,EyeLink Experiment Builder,500 Hz,1280 x 1024,upper left,,,,,
unicph_toddlers,in-lab,,,,EyeLink 1000 Plus,EyeLink Experiment Builder,1000 Hz,1280 x 1024,upper left,,,,,
WSUMARCS_adults,in-lab,Y,Y,Adrian,Tobii X120,Tobii Studio,120 Hz,1920 x 1080,upper left,,,,,