trial_bin,trial_order,familiarization_order,first_trial,second_trial
1,1,A,KNOW_RR,IG_RR_ExitLeft_CON
1,2,B,KNOW_RL,IG_RR_ExitLeft_CON
1,3,B,KNOW_LR,IG_RR_ExitRight_INC
1,4,A,KNOW_LL,IG_RR_ExitRight_INC
1,5,B,KNOW_RR,IG_RL_ExitRight_CON
1,6,A,KNOW_RL,IG_RL_ExitRight_CON
1,7,A,KNOW_LR,IG_RL_ExitLeft_INC
1,8,B,KNOW_LL,IG_RL_ExitLeft_INC
1,9,A,IG_RR,KNOW_LR_ExitLeft_CON
1,10,B,IG_RL,KNOW_LR_ExitLeft_CON
1,11,B,IG_LR,KNOW_LR_ExitRight_INC
1,12,A,IG_LL,KNOW_LR_ExitRight_INC
1,13,B,IG_RR,KNOW_LL_ExitRight_CON
1,14,A,IG_RL,KNOW_LL_ExitRight_CON
1,15,A,IG_LR,KNOW_LL_ExitLeft_INC
1,16,B,IG_LL,KNOW_LL_ExitLeft_INC
2,17,A,IG_RR,KNOW_RR_ExitRight_INC
2,18,B,IG_RL,KNOW_RR_ExitRight_INC
2,19,B,IG_LR,KNOW_RR_ExitLeft_CON
2,20,A,IG_LL,KNOW_RR_ExitLeft_CON
2,21,B,IG_RR,KNOW_RL_ExitLeft_INC
2,22,A,IG_RL,KNOW_RL_ExitLeft_INC
2,23,A,IG_LR,KNOW_RL_ExitRight_CON
2,24,B,IG_LL,KNOW_RL_ExitRight_CON
2,25,A,KNOW_RR,IG_LR_ExitRight_INC
2,26,B,KNOW_RL,IG_LR_ExitRight_INC
2,27,B,KNOW_LR,IG_LR_ExitLeft_CON
2,28,A,KNOW_LL,IG_LR_ExitLeft_CON
2,29,B,KNOW_RR,IG_LL_ExitLeft_INC
2,30,A,KNOW_RL,IG_LL_ExitLeft_INC
2,31,A,KNOW_LR,IG_LL_ExitRight_CON
2,32,B,KNOW_LL,IG_LL_ExitRight_CON
3,33,A,KNOW_RR,IG_RR_ExitRight_INC
3,34,B,KNOW_RL,IG_RR_ExitRight_INC
3,35,B,KNOW_LR,IG_RR_ExitLeft_CON
3,36,A,KNOW_LL,IG_RR_ExitLeft_CON
3,37,B,KNOW_RR,IG_RL_ExitLeft_INC
3,38,A,KNOW_RL,IG_RL_ExitLeft_INC
3,39,A,KNOW_LR,IG_RL_ExitRight_CON
3,40,B,KNOW_LL,IG_RL_ExitRight_CON
3,41,A,IG_RR,KNOW_LR_ExitRight_INC
3,42,B,IG_RL,KNOW_LR_ExitRight_INC
3,43,B,IG_LR,KNOW_LR_ExitLeft_CON
3,44,A,IG_LL,KNOW_LR_ExitLeft_CON
3,45,B,IG_RR,KNOW_LL_ExitLeft_INC
3,46,A,IG_RL,KNOW_LL_ExitLeft_INC
3,47,A,IG_LR,KNOW_LL_ExitRight_CON
3,48,B,IG_LL,KNOW_LL_ExitRight_CON
4,49,A,IG_RR,KNOW_RR_ExitLeft_CON
4,50,B,IG_RL,KNOW_RR_ExitLeft_CON
4,51,B,IG_LR,KNOW_RR_ExitRight_INC
4,52,A,IG_LL,KNOW_RR_ExitRight_INC
4,53,B,IG_RR,KNOW_RL_ExitRight_CON
4,54,A,IG_RL,KNOW_RL_ExitRight_CON
4,55,A,IG_LR,KNOW_RL_ExitLeft_INC
4,56,B,IG_LL,KNOW_RL_ExitLeft_INC
4,57,A,KNOW_RR,IG_LR_ExitLeft_CON
4,58,B,KNOW_RL,IG_LR_ExitLeft_CON
4,59,B,KNOW_LR,IG_LR_ExitRight_INC
4,60,A,KNOW_LL,IG_LR_ExitRight_INC
4,61,B,KNOW_RR,IG_LL_ExitRight_CON
4,62,A,KNOW_RL,IG_LL_ExitRight_CON
4,63,A,KNOW_LR,IG_LL_ExitLeft_INC
4,64,B,KNOW_LL,IG_LL_ExitLeft_INC