original,target
NEW_IG_RL_EXITLEFT_INC,IG_RL_ExitLeft_INC_new
NEW_IG_RL_EXITRIGHT_CON,IG_RL_ExitRight_CON_new
KNOW_LL_ExitLeft_INC-,KNOW_LL_ExitLeft_INC
NEW_KNOW_LL,KNOW_LL_new
star_calib_pre,star_calib
star_calib_post,star_calib
star_calib_mp4,star_calib
star_calib (1),star_calib
star_calib1,star_calib
star_calib2,star_calib
star-calib_1,star_calib
star-calib_0,star_calib
KNOW_LL_new_INC,KNOW_LL_new
calib_pupil,Pupil_Calibration
pupil_calib,Pupil_Calibration
pupil-size_0,Pupil_Calibration
IG_LR_ExitRight_INC1,IG_LR_ExitRight_INC
IG_RR1,IG_RR
KNOW_LR1,KNOW_LR
FAM_LR6,FAM_LR
FAM_LL6,FAM_LL
FAM_RL6,FAM_RL
FAM_RR6,FAM_RR
KNOW_LL1,KNOW_LL
FAM_RL5,FAM_RL
FAM_RR5,FAM_RR
FAM_LR5,FAM_LR
FAM_LL5,FAM_LL
FAM_RL1,FAM_RL
FAM_RR1,FAM_RR
FAM_LR1,FAM_LR
FAM_LL1,FAM_LL
FAM_LR2,FAM_LR
FAM_LL2,FAM_LL
FAM_RL2,FAM_RL
FAM_RR2,FAM_RR