trial_file_name,has_ending,condition,target,consistency,bear_not_visible_ms,point_of_disambig_ms,video_duration_ms
IG_LL.mp4,n,ignorance,right,NA,31233,36266,36266
IG_LR.mp4,n,ignorance,left,NA,31233,36266,36266
IG_RL.pm4,n,ignorance,right,NA,31233,36266,36266
IG_RR.mp4,n,ignorance,left,NA,31233,36266,36266
KNOW_LL.mp4,n,knowledge,right,NA,31233,36266,36266
KNOW_LR.mp4,n,knowledge,left,NA,31233,36266,36266
KNOW_RL.mp4,n,knowledge,right,NA,31233,36266,36266
KNOW_RR.mp4,n,knowledge,left,NA,31233,36266,36266
IG_LL_ExitLeft_INC.mp4,y,ignorance,right,inconsistent,31233,35233,40033
IG_LL_ExitRight_CON.mp4,y,ignorance,right,consistent,31233,35233,40033
IG_LR_ExitLeft_CON.mp4,y,ignorance,left,consistent,31233,35233,40033
IG_LR_ExitRight_INC.mp4,y,ignorance,left,inconsistent,31233,35233,40033
IG_RL_ExitLeft_INC.mp4,y,ignorance,right,inconsistent,31233,35233,40033
IG_RL_ExitRight_CON.mp4,y,ignorance,right,consistent,31233,35233,40033
IG_RR_ExitLeft_CON.mp4,y,ignorance,left,consistent,31233,35233,40033
IG_RR_ExitRight_INC.mp4,y,ignorance,left,inconsistent,31233,35233,40033
KNOW_LL_ExitLeft_INC.mp4,y,knowledge,right,inconsistent,31233,35233,40033
KNOW_LL_ExitRight_CON.mp4,y,knowledge,right,consistent,31233,35233,40033
KNOW_LR_ExitLeft_CON.mp4,y,knowledge,left,consistent,31233,35499,40033
KNOW_LR_ExitRight_INC.mp4,y,knowledge,left,inconsistent,31233,35233,40033
KNOW_RL_ExitLeft_INC.mp4,y,knowledge,right,inconsistent,31233,35200,40033
KNOW_RL_ExitRight_CON.mp4,y,knowledge,right,consistent,31233,35233,40033
KNOW_RR_ExitLeft_CON.mp4,y,knowledge,left,consistent,31233,35233,40033
KNOW_RR_ExitRight_INC.mp4,y,knowledge,left,inconsistent,31233,35233,40033
FAM_LL.mp4,NA,familiarization,left,NA,25930,29790,38070
FAM_LR.mp4,NA,familiarization,right,NA,25930,29790,38070
FAM_RL.mp4,NA,familiarization,left,NA,25930,29790,38070
FAM_RR.mp4,NA,familiarization,right,NA,25930,29790,38070
star_calib.mp4,NA,calibration_check,NA,NA,0,0,38070